if_stolen,if_dark_colour,cost_of_bike,if_near_city_center,location_type,if_popular_type,bike_type
0,0,329,1,residential,1,1
0,1,525,1,social,1,1
0,1,500,1,social,1,1
0,0,750,1,residential,1,1
0,1,200,1,social,1,1
0,0,700,1,social,0,0
0,1,650,1,residential,1,1
0,1,600,1,residential,1,1
0,0,450,1,social,1,1
0,1,250,1,social,1,1
0,0,500,1,residential,1,1
0,0,500,1,residential,1,1
0,0,900,1,social,1,1
0,0,700,1,residential,1,1
0,1,200,1,residential,1,1
0,1,500,1,residential,0,0
0,0,400,1,residential,1,1
0,0,1500,1,social,1,1
0,0,900,0,residential,1,1
0,0,500,0,residential,0,0
0,0,80,1,residential,1,1
0,0,350,1,social,1,1
0,0,1200,1,social,1,1
0,1,3300,1,residential,1,1
0,1,600,1,residential,1,1
0,1,500,1,residential,1,1
0,0,600,1,social,1,1
0,1,500,1,residential,1,1
0,1,600,1,residential,1,1
0,0,599,1,social,1,1
0,1,400,1,residential,0,0
0,1,400,1,residential,1,1
0,1,2800,1,social,0,0
0,1,300,1,social,1,1
0,1,120,1,educational,1,1
0,1,600,1,social,1,1
0,1,385,1,residential,0,0
0,0,500,1,social,0,0
0,1,2000,1,residential,0,0
1,0,1800,0,residential,1,1
0,1,900,1,residential,1,1
0,0,800,1,residential,1,1
0,0,1300,1,residential,0,0
0,1,700,1,social,1,1
0,0,1000,1,residential,1,1
0,0,200,1,social,1,1
0,0,1700,1,residential,1,1
1,1,750,1,residential,1,1
0,1,600,1,social,1,1
0,1,800,1,social,1,1
0,0,1000,1,residential,1,1
1,1,549,1,social,0,0
0,1,500,0,residential,0,0
0,0,1000,1,residential,1,1
0,0,1000,0,residential,1,1
0,1,625,0,residential,1,1
0,0,300,1,social,1,1
0,1,700,1,residential,1,1
0,1,600,1,social,1,1
0,1,300,1,social,1,1
0,0,200,1,social,0,0
0,0,550,1,residential,1,1
0,1,700,1,residential,1,1
0,1,350,1,educational,1,1
0,0,600,1,residential,1,1
0,1,699,1,residential,1,1
0,1,500,1,social,1,1
0,1,1500,1,social,0,0
0,0,900,1,social,1,1
0,1,600,1,social,1,1
0,1,640,1,social,1,1
0,1,98,1,educational,1,1
0,0,659,1,residential,0,0
0,1,850,1,residential,1,1
0,0,900,1,residential,1,1
0,1,400,1,residential,0,0
0,0,400,1,social,1,1
0,0,900,1,social,1,1
0,1,500,1,social,1,1
0,0,800,1,social,1,1
0,1,600,1,social,1,1
0,1,500,1,social,0,0
0,0,400,1,social,1,1
0,1,1000,1,social,1,1
0,0,500,1,social,1,1
0,0,1200,1,social,1,1
0,0,1000,1,social,1,1
0,0,600,1,social,0,0
0,1,800,1,residential,0,0
0,0,429,1,residential,1,1
0,0,500,1,residential,1,1
0,1,800,1,residential,1,1
0,1,500,1,residential,1,1
1,0,3275,1,residential,1,1
0,0,600,1,social,1,1
0,1,700,1,residential,1,1
0,0,500,1,social,1,1
0,0,125,1,residential,1,1
0,0,200,1,educational,1,1
0,0,340,1,social,1,1
0,0,1000,1,social,1,1
0,1,1150,1,residential,1,1
0,1,900,1,educational,1,1
0,1,2000,1,residential,1,1
0,1,800,1,social,1,1
0,1,650,1,social,1,1
0,0,128,1,residential,1,1
0,1,450,1,social,0,0
0,1,1000,1,residential,0,0
0,1,400,1,residential,1,1
0,0,2000,1,residential,0,0
0,0,2400,1,residential,0,0
0,0,450,1,social,0,0
0,0,150,1,residential,1,1
0,1,1037,1,social,1,1
0,1,1500,1,educational,0,0
0,1,2000,1,social,1,1
0,1,150,0,residential,1,1
0,0,600,1,residential,1,1
0,1,900,1,social,1,1
0,0,1200,1,residential,1,1
0,1,750,1,social,1,1
0,1,600,1,residential,1,1
0,1,846,1,residential,0,0
0,1,300,0,social,1,1
0,1,2300,1,social,1,1
0,1,400,1,residential,1,1
0,1,700,1,social,1,1
0,1,627,1,residential,1,1
0,1,700,1,social,1,1
0,1,400,1,residential,1,1
0,0,203,1,residential,1,1
0,0,1800,1,social,1,1
0,1,500,0,residential,1,1
0,1,749,1,residential,1,1
0,0,650,1,social,1,1
0,1,609,1,residential,1,1
0,0,2500,1,social,1,1
0,0,700,1,residential,1,1
0,1,350,1,social,0,0
0,0,540,1,residential,1,1
0,1,350,0,social,1,1
0,1,500,1,residential,1,1
0,0,250,1,residential,0,0
0,1,500,1,residential,0,0
0,1,500,1,social,0,0
0,1,630,1,social,0,0
0,1,600,1,educational,1,1
